id_frame;id_object;x_coord;y_coord;width;height;obj_class;obj_proba(%)
549;0;1037;564;43;22;web_site;18
549;1;847;472;377;213;sports_car;53
549;2;994;518;142;40;rule;26
550;0;1024;560;43;21;web_site;23
550;1;836;469;377;213;sports_car;64
550;2;981;513;142;41;rule;20
551;0;1012;556;41;21;web_site;16
551;1;825;465;376;212;sports_car;64
551;2;968;509;142;41;rule;23
552;0;998;551;43;21;web_site;16
552;1;814;462;376;211;sports_car;61
552;2;813;240;23;41;can_opener;27
553;0;985;547;43;21;web_site;19
553;1;804;458;375;210;sports_car;69
553;2;948;502;137;40;rule;19
554;0;974;543;41;21;vine_snake;19
554;1;794;455;373;210;sports_car;57
554;2;1197;40;29;23;digital_clock;52
555;0;961;538;42;21;web_site;19
555;1;783;452;373;208;sports_car;72
555;2;923;494;137;40;digital_clock;13
556;0;949;534;41;21;vine_snake;17
556;1;774;448;371;208;sports_car;66
556;2;912;490;135;40;rule;17
557;0;937;530;40;21;vine_snake;19
557;1;764;445;369;207;sports_car;47
557;2;901;486;77;28;vine_snake;26
558;0;925;526;40;21;web_site;18
558;1;754;441;368;207;sports_car;55
558;2;956;494;66;28;digital_clock;14
558;3;889;482;78;28;rule;23
559;0;913;522;40;21;vine_snake;17
559;1;746;438;365;206;sports_car;60
559;2;943;491;67;27;Band_Aid;14
559;3;878;478;75;28;rule;28
559;4;813;238;24;42;can_opener;24
560;0;901;517;40;21;vine_snake;18
560;1;736;435;364;204;sports_car;65
560;2;867;475;75;27;vine_snake;50
561;0;890;513;39;21;vine_snake;21
561;1;727;432;362;202;sports_car;67
561;2;926;483;60;27;Band_Aid;14
561;3;856;471;74;28;vine_snake;38
561;4;812;238;25;37;thresher;14
562;0;879;509;39;21;vine_snake;20
562;1;718;429;361;202;sports_car;66
562;2;919;479;55;27;digital_clock;17
562;3;813;239;23;43;hand-held_computer;17
563;0;709;425;359;201;sports_car;76
563;1;906;476;57;26;vine_snake;56
563;2;812;238;22;37;milk_can;18
564;0;700;422;357;201;sports_car;71
564;1;900;473;51;25;vine_snake;53
564;2;825;460;71;25;vine_snake;70
565;0;692;419;355;200;sports_car;71
565;1;815;457;70;27;vine_snake;71
565;2;810;238;26;39;thresher;18
567;0;684;413;353;201;sports_car;73
567;1;809;238;24;45;can_opener;35
568;0;676;413;350;196;sports_car;77
568;1;807;239;28;42;can_opener;58
569;0;668;410;348;195;sports_car;77
569;1;787;446;67;26;vine_snake;64
570;0;660;407;346;193;sports_car;82
570;1;806;238;30;43;thresher;24
571;0;652;405;344;191;sports_car;81
571;1;768;440;65;25;vine_snake;56
571;2;806;238;30;40;thresher;23
572;0;633;401;354;196;sports_car;74
572;1;715;456;186;62;lycaenid;37
572;2;776;472;46;23;web_site;20
572;3;676;427;39;27;whistle;19
572;4;805;237;31;45;thresher;13
573;0;630;398;337;186;sports_car;71
573;1;804;242;32;36;milk_can;37
574;0;623;395;335;185;sports_car;67
574;1;735;427;59;25;vine_snake;43
574;2;805;240;32;38;milk_can;48
575;0;616;391;332;186;sports_car;60
575;1;727;425;58;23;vine_snake;56
576;0;609;389;330;184;sports_car;72
576;1;806;241;32;36;thresher;14
577;0;603;386;327;183;sports_car;68
577;1;802;238;35;41;thresher;52
578;0;597;383;324;183;sports_car;62
578;1;712;416;45;23;vine_snake;63
579;0;591;381;322;181;sports_car;53
579;1;805;238;30;44;thresher;38
580;0;585;380;319;179;sports_car;57
580;1;799;239;36;44;thresher;12
581;0;579;377;317;178;sports_car;60
581;1;803;239;32;44;thresher;22
582;0;573;375;314;175;sports_car;61
582;1;777;525;77;15;digital_clock;23
582;2;797;237;38;48;thresher;19
583;0;568;373;311;173;sports_car;71
583;1;797;238;38;47;thresher;25
584;0;563;371;308;171;sports_car;68
584;1;796;241;40;45;hand-held_computer;26
585;0;556;368;307;175;sports_car;73
585;1;796;243;39;39;thresher;11
586;0;552;366;303;171;sports_car;76
586;1;744;512;77;15;digital_clock;24
586;2;793;240;42;49;thresher;20
587;0;547;365;301;169;sports_car;59
587;1;736;509;79;15;digital_clock;24
588;0;542;363;298;168;sports_car;52
588;1;728;506;80;14;digital_clock;22
588;2;793;242;42;46;whistle;17
589;0;537;361;296;165;sports_car;45
589;1;792;239;44;48;thresher;41
590;0;532;357;294;167;sports_car;30
590;1;792;243;43;44;thresher;11
592;0;734;505;54;17;vine_snake;24
592;1;528;356;292;163;minibus;24
592;2;791;244;44;45;whistle;13
593;0;524;354;288;164;sports_car;30
593;1;790;242;45;45;thresher;50
594;0;520;350;286;165;sports_car;28
594;1;789;243;46;43;whistle;12
